name,lat,long,city
365,Allegheny County Airport,40.354401,-79.930199,Pittsburgh
366,Northeast Philadelphia Airport,40.081902,-75.010597,Philadelphia
367,Floyd Bennett Memorial Airport,43.3412017822,-73.6102981567,Glens Falls
368,Salinas Municipal Airport,36.662799835205,-121.60600280762,Salinas
369,Westfield-Barnes Regional Airport,42.157799,-72.715599,Westfield
370,Castle Airport,37.38050079,-120.5680008,Merced
371,Jack Northrop Field Hawthorne Municipal Airport,33.922798,-118.334999,Hawthorne
372,General William J Fox Airfield,34.7411,-118.219002,Lancaster
373,Richard Lloyd Jones Jr Airport,36.039600372314,-95.984596252441,Tulsa
374,Byron Airport,37.82647,-121.621699,Byron
375,Laconia Municipal Airport,43.572701,-71.4189,Laconia / Gilford
376,Nashua Airport / Boire Field,42.7817,-71.514801,Nashua
377,Johnson County Executive Airport,38.84759903,-94.73760223,Olathe
378,San Martin Airport,37.08160019,-121.5970001,San Martin
379,Chippewa Valley Regional Airport,44.86579895019531,-91.48429870605469,Eau Claire
380,Elko Regional Airport,40.82490158081055,-115.79199981689453,Elko
381,Lynchburg Regional Airport - Preston Glenn Field,37.326698,-79.200401,Lynchburg
382,Manhattan Regional Airport,39.14099884033203,-96.6707992553711,Manhattan
383,Monroe Regional Airport,32.510899,-92.037697,Monroe
384,North Platte Regional Airport Lee Bird Field,41.12620163,-100.6839981,North Platte
385,Roberts Field,44.2541008,-121.1500015,Redmond
386,Sioux Gateway Airport / Brigadier General Bud Day Field,42.397605,-96.382237,Sioux City
387,Northwest Florida Beaches International Airport,30.357106,-85.795414,Panama City Beach
388,Mc Minnville Municipal Airport,45.19440079,-123.1360016,Mc Minnville
389,McClellan Airfield,38.667599,-121.401001,Sacramento
390,Bowman Field,38.2280006409,-85.6636962891,Louisville
391,St Louis Downtown Airport,38.570701599100005,-90.1561965942,Cahokia/St Louis
392,Northern Colorado Regional Airport,40.448763,-105.011244,Loveland
393,Palm Beach County Glades Airport,26.78499985,-80.69339752,Pahokee
394,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,Arcata/Eureka
395,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,Binghamton
396,Columbus Metropolitan Airport,32.516300201416016,-84.93890380859375,Columbus
397,Perot Field/Fort Worth Alliance Airport,32.99044,-97.31947,Fort Worth
398,Lafayette Regional Airport,30.205299,-91.987602,Lafayette
399,MBS International Airport,43.532902,-84.079597,Saginaw
400,Sheppard Air Force Base / Wichita Falls Municipal Airport,33.9888,-98.491898,Wichita Falls
401,St Paul Downtown Holman Field,44.93450164794922,-93.05999755859375,St Paul
402,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,Bar Harbor
403,Imperial County Airport,32.834201812699995,-115.57900238,Imperial
404,Philip Billard Municipal Airport,39.069899,-95.622606,Topeka
405,Cape May County Airport,39.008499145500004,-74.9083023071,Wildwood
406,Canyonlands Regional Airport,38.755001,-109.754997,Moab
407,Boca Raton Airport,26.3784999847,-80.1076965332,Boca Raton
408,Georgetown Municipal Airport,30.677543,-97.678524,Georgetown
409,Marco Island Executive Airport,25.995001,-81.672501,Marco Island
410,Minden-Tahoe Airport,39.00030136,-119.7509995,Minden
411,Flagler Executive Airport,29.4674,-81.206299,Palm Coast
